fecha,REGIMEN ADUANERO,REFRENDO,DAU,ITEM,RUC IMPORTADOR,IMPORTADOR,PAÍS DE ORIGEN,PAIS DE PROCEDENCIA,CIUDAD EMBARQUE,VIA DE TRANSPORTE,ADUANA,PARTIDA ARANCELARIA,DESCRIPCIÓN ARANCELARIA,DESCRIPCION PRODUCTO COMERCIAL,MARCA,ESTADO DE MERCANCIA,BULTOS,CANTIDAD,UNIDAD DE MEDIDA,ADVALOREM,US$ FOB,US$ FLETE,US$ SEGURO,US$ CIF,EMBARCADOR,EMPRESA DE TRANSPORTE,PAÍS DE EMBARQUE,CONTENEDOR,AGENTE DE ADUANA,NAVE,NUMERO DE MANIFIESTO,CONOCIMIENTO EMBARQUE,DEPOSITO COMERCIAL,PESO NETO KG,TIPO AFORO,DIRECCIÓN CONSIGNATARIO,FECHA DE EMBARQUE,FECHA DE LLEGADA,FECHA INGRESO SISTEMA,FECHA PAGO,FACTURA,CARACTERISTICAS,PRODUCTO,MARCA COMERCIAL,AÑO FABRICACIÓN,MODELO MERCADERIA,US$ FOB UNIT,FECHA DE LIQUIDACIÓN,FECHA AFORO,INCOTERM,AGENCIA DE CARGA,CODIGO DE LIBERACION,CÓDIGO TNAN,NUMERO DE CARGA FINAL,FECHA SALIDA,TOTAL AJUSTES,TOTAL OTROS AJUSTES
05-01-2023,IMPORTACION A CONSUMO,028-2023-10-00017124,00000014,1,0992216964001,ELICROM CIA. LTDA.,SOUTH KOREA,TAIWAN,BUSAN (EX PUSAN),MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AGITADOR DE PLACA CALIENTE 110V,MISUNG SCIENTIFIC CO LTD,NUEVA,1,40,NUMERO DE UNIDADES,0,4800,50,48,4898,MISUNG SCIENTIFIC CO LTD,REMAR REPRESENTACIONES MARITIMAS DEL ECUADOR SA REMAR,COREA DEL SUR,1,01905302-REYES OBANDO MARCOS ALBERTO,SEASPAN BELLWETHER,CEC2022ONEU0013,GLSLGYE2211039,05907400-INARPI S.A.,200,AFORO-AFORO AUTOMATICO,GUAYAS / GUAYAQUIL / TARQUI / PRIMERA SOLAR 10,20221121,20221225,20230105,20230105,MS22062EL,AGITADOR PARA USO EN LABORATORIO,PARA LABORATORIO,MISUNG SCIENTIFIC CO LTD,0,MS300HS,120,20230105,20230105,FOB,SACO SHIPPING S.A.,-,0,CEC2022ONEU001370151101,20230110,,0
05-01-2023,IMPORTACION A CONSUMO,028-2023-10-00017124,00000014,2,0992216964001,ELICROM CIA. LTDA.,SOUTH KOREA,TAIWAN,BUSAN (EX PUSAN),MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AGITADOR DE PLACA CALIENTE 220V,MISUNG SCIENTIFIC CO LTD,NUEVA,1,10,NUMERO DE UNIDADES,0,1200,50,12,1262,MISUNG SCIENTIFIC CO LTD,REMAR REPRESENTACIONES MARITIMAS DEL ECUADOR SA REMAR,COREA DEL SUR,1,01905302-REYES OBANDO MARCOS ALBERTO,SEASPAN BELLWETHER,CEC2022ONEU0013,GLSLGYE2211039,05907400-INARPI S.A.,53,AFORO-AFORO AUTOMATICO,GUAYAS / GUAYAQUIL / TARQUI / PRIMERA SOLAR 10,20221121,20221225,20230105,20230105,MS22062EL,AGITADOR PARA USO EN LABORATORIO,PARA LABORATORIO,MISUNG SCIENTIFIC CO LTD,0,MS300HS,120,20230105,20230105,FOB,SACO SHIPPING S.A.,-,0,CEC2022ONEU001370151101,20230110,,0
06-01-2023,IMPORTACION A CONSUMO,028-2023-10-00023712,00000227,4,1.79184E+12,AURELIAN ECUADOR S.A.,PERU,PERU,CALLAO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AGITADORES VORTEX,SIN MARCA,NUEVA,4,14,NUMERO DE UNIDADES,0,4989.32,120.71,1.89,5111.92,EMSUNIR S.A.,AGENCIA MARITIMA GLOBAL MARGLOBAL SA,PERU,1,01900007-ROCALVI S.A.,ALGOL,CEC202278127066,ELL0003466/2022,05906960-NAPORTEC S.A.,396.77,AFORO-AFORO AUTOMATICO,ZAMORA CHINCHIPE / YANTZAZA / LOS ENCUENTROS / 1 DE MAYO SN Y 12 DE FEBRERO,20230102,20230105,20230106,,F001-00000786,4900003304,AGITADORES VORTEX,SIN MARCA,2022,EMS-7569,356.38,20230228,20230106,EXW,TRANSOCEAN LOGISTICS CORPORATION S.A.,-,0,CEC20227812706600020502,20230109,,0
06-01-2023,IMPORTACION A CONSUMO,028-2023-10-00023309,00000031,1,0993064998001,CONSULTCOMMERCE S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AIREADOR,SIN MARCA,NUEVA,3123,117,NUMERO DE UNIDADES,0,58281.21,3102.9,560.04,61944.15,TAIZHOU QIHONG ELECTRICAL MECHANICAL CO LTD,BROOM-ECUADOR S.A.,CHINA,2,01900686-BEJAR PERASSO JAVIER ENRIQUE,CAP ANDREAS,CEC2022WHLU5562,APS22120076,05907400-INARPI S.A.,12087.85,AFORO-AFORO AUTOMATICO,AV RODRIGO CHAVEZ MZ 274 PARQUE EMPRESARIAL COLON EDIFICIO EMPRESARIAL 5 OF 6,20221205,20230107,20230106,20230110,L20221103-1,PARA CAMARONERAS,AIREADOR,SIN MARCA,2022,YC-3,498.13,20230106,20230106,FOB,PLUSCARGO-ECUADOR S. A.,-,0,CEC2022WHLU556220890001,20230113,,0
06-01-2023,IMPORTACION A CONSUMO,028-2023-10-00023309,00000031,2,0993064998001,CONSULTCOMMERCE S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AIREADOR,SIN MARCA,NUEVA,3123,35,NUMERO DE UNIDADES,0,45102.05,2107.16,472.09,47681.3,TAIZHOU QIHONG ELECTRICAL MECHANICAL CO LTD,BROOM-ECUADOR S.A.,CHINA,2,01900686-BEJAR PERASSO JAVIER ENRIQUE,CAP ANDREAS,CEC2022WHLU5562,APS22120076,05907400-INARPI S.A.,9354.43,AFORO-AFORO AUTOMATICO,AV RODRIGO CHAVEZ MZ 274 PARQUE EMPRESARIAL COLON EDIFICIO EMPRESARIAL 5 OF 6,20221205,20230107,20230106,20230110,L20221103-1,PARA CAMARONERAS,AIREADOR,SIN MARCA,2022,DE-16,1288.63,20230106,20230106,FOB,PLUSCARGO-ECUADOR S. A.,-,0,CEC2022WHLU556220890001,20230113,,0
06-01-2023,IMPORTACION A CONSUMO,028-2023-10-00023309,00000031,3,0993064998001,CONSULTCOMMERCE S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AIREADOR,SIN MARCA,NUEVA,3123,6,NUMERO DE UNIDADES,0,2062.26,96.35,21.59,2180.2,TAIZHOU QIHONG ELECTRICAL MECHANICAL CO LTD,BROOM-ECUADOR S.A.,CHINA,2,01900686-BEJAR PERASSO JAVIER ENRIQUE,CAP ANDREAS,CEC2022WHLU5562,APS22120076,05907400-INARPI S.A.,427.72,AFORO-AFORO AUTOMATICO,AV RODRIGO CHAVEZ MZ 274 PARQUE EMPRESARIAL COLON EDIFICIO EMPRESARIAL 5 OF 6,20221205,20230107,20230106,20230110,L20221103-1,PARA CAMARONERAS,AIREADOR,SIN MARCA,2022,YC-1.5,343.71,20230106,20230106,FOB,PLUSCARGO-ECUADOR S. A.,-,0,CEC2022WHLU556220890001,20230113,,0
09-01-2023,IMPORTACION A CONSUMO,028-2023-10-00037515,00000040,19,0916994478001,CORTEZ PADILLA WILLIAM ANDRES,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MAQUINA GRANIZADORA,PLATINIUM,NUEVA,489,150,NUMERO DE UNIDADES,0,9637.5,315.68,25.02,9978.2,"HANGZHOU AG MACHINERY CO., LTD.",MAERSK DEL ECUADOR C.A.,CHINA,1,01900009-CORNEJO & IGLESIAS ASOCIADOS S.A.,MAERSK SAVANNAH,CEC2023MAEU0004,TMSE2069460,05909025-CONTECON GUAYAQUIL S.A.,643.12,AFORO-AFORO AUTOMATICO,CDLA LOS ESTEROS SOLAR 43 Y MZ 9A,20221128,20230102,20230109,20230109,AGMC22014/22016,ICE MACHINE,MAQUINA GRANIZADORA,PLATINIUM,2022,AG16-601,64.25,20230109,20230109,FOB,PROVEXCAR CIA. LTDA.,-,0,CEC2023MAEU000402420001,20230111,,0
09-01-2023,IMPORTACION A CONSUMO,028-2023-10-00035779,02000037,1,0992717769001,IMPORTADORA ECUASINO S.A.,CHINA,CHINA,SHEKOU,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AERADORES,S/MARCA,NUEVA,3742,272,NUMERO DE UNIDADES,0,185504,7620,173.8,193297.8,HUBEI PROVINCIAL JIAXIN MACHINERY IMPORT AND EXPORT CO LT,AGENCIA MARITIMA GLOBAL MARGLOBAL SA,CHINA,4,01904810-VERA SERRANO JORGE LUIS,CAP ANDREAS,CEC2022WHLU5562,025C816275,05907400-INARPI S.A.,7612,AFORO-AFORO AUTOMATICO,PARQUE EMPRESARIAL COLON EDIFICIO PACIFICA CENTER PISO 1OF .108,20221128,20230107,20230109,,FD22H933,RUEDAS DE PALETAS,AERADORES,S/MARCA,0,S/MODELO,682,20230109,20230109,FOB,ZZ OTROS LIBERADORES DIRECTOS,-,0,CEC2022WHLU55620024,20230110,,0
10-01-2023,IMPORTACION A CONSUMO,019-2023-10-00039963,00000263,4,0190005070001,CONTINENTAL TIRE ANDINA S.A.,GERMANY,GERMANY,SIEGEN,AEREA,GUAYAQUIL AEREO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",FLAT WASHER FOR ANCHOR BOLTS,HF MIXING GROUP,NUEVA,2,8,NUMERO DE UNIDADES,0,335.14,-0.01,0.95,336.09,HARBURG-FREUDENBERGER,AERO EXPRESS DEL ECUADOR TRANSAM C. LTDA.,GERMANY,0,01904061-COMERCIAL ADUANERA INTERNACIONAL RAUL COKA BARRIGA C LTD,HCCDX,CEC20237T001003,000000008321802775,,36.34,AFORO-AFORO AUTOMATICO,PARQUE INDUSTRIAL,20221221,20230105,20230110,20230110,7000015680-DOK,FLAT WASHER FOR ANCHOR BOLTS,PT,HF MIXING GROUP,2023,SM,41.89,20230110,20230110,DDP,DHL EXPRESS ECUADOR S.A.,-,0,CEC20237T00100300040013,20230110,,695.05
10-01-2023,IMPORTACION A CONSUMO,019-2023-10-00039963,00000263,5,0190005070001,CONTINENTAL TIRE ANDINA S.A.,GERMANY,GERMANY,SIEGEN,AEREA,GUAYAQUIL AEREO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",HEXAGON CREW M12 X 25,HF MIXING GROUP,NUEVA,2,42,NUMERO DE UNIDADES,0,135.34,0.01,0.38,135.72,HARBURG-FREUDENBERGER,AERO EXPRESS DEL ECUADOR TRANSAM C. LTDA.,GERMANY,0,01904061-COMERCIAL ADUANERA INTERNACIONAL RAUL COKA BARRIGA C LTD,HCCDX,CEC20237T001003,000000008321802775,,190.79,AFORO-AFORO AUTOMATICO,PARQUE INDUSTRIAL,20221221,20230105,20230110,20230110,7000015680-DOK,HEXAGON CREW M12 X 25,PT,HF MIXING GROUP,2023,SM,3.22,20230110,20230110,DDP,DHL EXPRESS ECUADOR S.A.,-,0,CEC20237T00100300040013,20230110,,3648.94
10-01-2023,IMPORTACION A CONSUMO,019-2023-10-00039963,00000263,2,0190005070001,CONTINENTAL TIRE ANDINA S.A.,GERMANY,GERMANY,SIEGEN,AEREA,GUAYAQUIL AEREO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",SIDE WALL COVER FOR FEEDING DEVICE,HF MIXING GROUP,NUEVA,2,2,NUMERO DE UNIDADES,0,1976.44,0,5.58,1982.02,HARBURG-FREUDENBERGER,AERO EXPRESS DEL ECUADOR TRANSAM C. LTDA.,GERMANY,0,01904061-COMERCIAL ADUANERA INTERNACIONAL RAUL COKA BARRIGA C LTD,HCCDX,CEC20237T001003,000000008321802775,,9.09,AFORO-AFORO AUTOMATICO,PARQUE INDUSTRIAL,20221221,20230105,20230110,20230110,7000015680-DOK,SIDE WALL COVER FOR FEEDING DEVICE,PT,HF MIXING GROUP,2023,SM,988.22,20230110,20230110,DDP,DHL EXPRESS ECUADOR S.A.,-,0,CEC20237T00100300040013,20230110,,173.85
10-01-2023,IMPORTACION A CONSUMO,019-2023-10-00039963,00000263,3,0190005070001,CONTINENTAL TIRE ANDINA S.A.,GERMANY,GERMANY,SIEGEN,AEREA,GUAYAQUIL AEREO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",REAR WALL COVER FOR FEEDING DEVICE,HF MIXING GROUP,NUEVA,2,1,NUMERO DE UNIDADES,0,1041.93,0,2.94,1044.87,HARBURG-FREUDENBERGER,AERO EXPRESS DEL ECUADOR TRANSAM C. LTDA.,GERMANY,0,01904061-COMERCIAL ADUANERA INTERNACIONAL RAUL COKA BARRIGA C LTD,HCCDX,CEC20237T001003,000000008321802775,,4.55,AFORO-AFORO AUTOMATICO,PARQUE INDUSTRIAL,20221221,20230105,20230110,20230110,7000015680-DOK,REAR WALL COVER FOR FEEDING DEVICE,PT,HF MIXING GROUP,2023,SM,1041.93,20230110,20230110,DDP,DHL EXPRESS ECUADOR S.A.,-,0,CEC20237T00100300040013,20230110,,86.92
